City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,brezina,33.0989,1.2608,21.24,24,4,0.68,DZ,1715247826
83,pandan,14.0453,124.1694,28.3,77,58,4.37,PH,1715247826
84,ebon,4.582,168.6964,28.3,80,79,5.07,MH,1715247708
85,guadalupe y calvo,26.1,-106.9667,7.93,30,0,2.09,MX,1715247826
86,pisco,-13.7,-76.2167,18.03,94,100,0.51,PE,1715247733
87,blackmans bay,-43.0167,147.3167,12.07,95,99,0.46,AU,1715247709
88,edinburgh of the seven seas,-37.0676,-12.3116,13.84,64,96,13.0,SH,1715247704
89,isafjordur,66.0755,-23.124,6.02,65,75,5.14,IS,1715247705
90,lilongwe,-13.9669,33.7873,24.11,60,40,5.14,MW,1715247827
91,mugia,43.1041,-9.2179,17.73,68,100,0.39,ES,1715247827
92,arteche,12.2645,125.4048,27.33,80,60,2.53,PH,1715247827
93,invercargill,-46.4,168.35,8.34,87,87,4.02,NZ,1715247724
94,mount isa,-20.7333,139.5,25.87,65,100,5.14,AU,1715247828
95,belyy yar,53.6039,91.3903,18.94,27,0,5.0,RU,1715247828
96,al jawf,29.5,38.75,31.13,10,0,6.71,SA,1715247828
97,anatuya,-28.4606,-62.8347,9.77,43,82,2.59,AR,1715247828
98,kristiansund,63.1115,7.732,10.36,87,75,5.14,NO,1715247828
99,mount gambier,-37.8333,140.7667,12.16,76,48,2.1,AU,1715247709
100,iskateley,67.6803,53.1512,-1.66,95,100,11.62,RU,1715247740
101,novyy turtkul',41.55,61.0167,23.95,29,78,5.02,UZ,1715247829
102,ishigaki,24.3448,124.1572,25.07,57,40,5.14,JP,1715247829
103,thompson,55.7435,-97.8558,4.09,75,40,1.54,CA,1715247721
104,casper,42.8666,-106.3131,4.29,92,100,4.12,US,1715247829
105,margaret river,-33.95,115.0667,21.69,52,100,6.71,AU,1715247425
106,mabaruma,8.2,-59.7833,22.81,95,100,0.58,GY,1715247829
107,tolanaro,-25.0319,46.9987,28.04,69,40,8.23,MG,1715247730
108,bethanie,-26.4833,17.15,30.61,19,20,3.62,NA,1715247830
109,bethel,41.3712,-73.414,15.42,82,0,0.89,US,1715247715
110,klyuchi,52.2667,79.1667,25.96,24,70,6.18,RU,1715247830
111,porbandar,21.6422,69.6093,33.99,52,20,6.69,IN,1715247830
112,vorgashor,67.5833,63.95,-2.33,74,100,11.64,RU,1715247724
113,kapa'a,22.0752,-159.319,23.18,80,75,5.14,US,1715247830
